Item Size,Overall Fit,Height,Bust,Waist,Hips,Bra,size
Item Size: S,Overall Fit: True to Size,154,87,70,84,34,57
Item Size: S,Overall Fit: True to Size,168,82,66,80,36,74
Item Size: S,Overall Fit: True to Size,168,84,71,96,34,58
Item Size: S,Overall Fit: True to Size,160,84,77,87,34,61
Item Size: S,Overall Fit: True to Size,157,83,65,99,32,57
Item Size: S,Overall Fit: True to Size,153,78,61,85,32,58
Item Size: S,Overall Fit: True to Size,148,75,64,86,32,54
Item Size: S,Overall Fit: True to Size,158,87,60,80,34,54
Item Size: S,Overall Fit: True to Size,154,91,63,93,32,75
Item Size: S,Overall Fit: True to Size,158,87,70,90,32,71
Item Size: S,Overall Fit: True to Size,159,87,71,84,34,53
Item Size: S,Overall Fit: True to Size,137,70,60,80,32,52
Item Size: S,Overall Fit: True to Size,173,83,66,91,34,67
Item Size: S,Overall Fit: True to Size,159,82,68,85,32,50
Item Size: S,Overall Fit: True to Size,163,87,69,91,34,62
Item Size: S,Overall Fit: True to Size,160,91,64,100,34,50
Item Size: S,Overall Fit: True to Size,165,83,71,84,32,60
Item Size: S,Overall Fit: True to Size,164,86,68,95,34,64
Item Size: S,Overall Fit: True to Size,156,87,70,90,32,50
Item Size: S,Overall Fit: True to Size,145,70,65,85,36,73
Item Size: S,Overall Fit: True to Size,145,70,65,85,36,51
Item Size: S,Overall Fit: True to Size,158,92,73,92,36,67
Item Size: S,Overall Fit: True to Size,158,92,73,92,36,57
Item Size: S,Overall Fit: True to Size,151,81,68,95,32,59
Item Size: S,Overall Fit: True to Size,160,83,69,87,32,57
Item Size: S,Overall Fit: True to Size,155,83,65,90,34,67
Item Size: S,Overall Fit: True to Size,160,77,60,89,32,67
Item Size: S,Overall Fit: True to Size,140,82,61,84,34,56
Item Size: S,Overall Fit: True to Size,153,83,66,82,32,65
Item Size: S,Overall Fit: True to Size,168,84,71,92,34,63
Item Size: S,Overall Fit: True to Size,140,82,61,84,34,70
Item Size: S,Overall Fit: True to Size,153,83,66,82,32,69
Item Size: S,Overall Fit: True to Size,168,84,71,92,34,51
Item Size: S,Overall Fit: True to Size,158,75,65,85,32,74
Item Size: S,Overall Fit: True to Size,155,87,65,87,34,66
Item Size: S,Overall Fit: True to Size,172,85,68,84,36,53
Item Size: S,Overall Fit: True to Size,162,71,69,85,32,58
Item Size: S,Overall Fit: True to Size,162,71,69,85,32,64
Item Size: S,Overall Fit: True to Size,160,94,67,91,32,53
Item Size: S,Overall Fit: True to Size,159,70,63,80,36,50
Item Size: S,Overall Fit: True to Size,158,92,64,89,34,57
