,Item Size,Overall Fit,Height,Bust,Waist,Hips,Bra,new
166,Item Size: S,Overall Fit: True to Size,165,85,71,93,86.36,-0.374695703485555
167,Item Size: S,Overall Fit: True to Size,163,77,62,90,81.28,-0.374695703485555
168,Item Size: S,Overall Fit: True to Size,139,88,67,80,86.36,-0.374695703485555
169,Item Size: S,Overall Fit: True to Size,163,83,65,84,86.36,-0.374695703485555
170,Item Size: S,Overall Fit: True to Size,160,88,65,87,86.36,-0.374695703485555
171,Item Size: S,Overall Fit: True to Size,141,85,65,89,81.28,-0.374695703485555
172,Item Size: S,Overall Fit: True to Size,152,70,60,80,86.36,-0.374695703485555
173,Item Size: S,Overall Fit: True to Size,154,82,71,91,91.44,-0.374695703485555
174,Item Size: S,Overall Fit: True to Size,157,84,80,87,81.28,-0.374695703485555
175,Item Size: S,Overall Fit: True to Size,137,82,66,82,81.28,-0.374695703485555
176,Item Size: S,Overall Fit: True to Size,148,87,70,102,86.36,-0.374695703485555
177,Item Size: S,Overall Fit: True to Size,158,72,61,83,91.44,-0.374695703485555
178,Item Size: S,Overall Fit: True to Size,172,70,68,80,81.28,-0.374695703485555
179,Item Size: S,Overall Fit: True to Size,155,89,71,99,81.28,-0.374695703485555
180,Item Size: S,Overall Fit: True to Size,160,83,65,83,81.28,-0.374695703485555
181,Item Size: S,Overall Fit: True to Size,162,85,60,85,81.28,-0.374695703485555
182,Item Size: S,Overall Fit: True to Size,162,88,66,93,81.28,-0.374695703485555
183,Item Size: S,Overall Fit: True to Size,148,84,65,84,81.28,-0.374695703485555
184,Item Size: S,Overall Fit: True to Size,160,87,66,89,86.36,-0.374695703485555
185,Item Size: S,Overall Fit: True to Size,154,86,66,83,81.28,-0.374695703485555
186,Item Size: S,Overall Fit: True to Size,165,82,69,86,81.28,-0.374695703485555
187,Item Size: S,Overall Fit: True to Size,170,89,66,94,86.36,-0.374695703485555
188,Item Size: S,Overall Fit: True to Size,153,84,65,86,86.36,-0.374695703485555
189,Item Size: S,Overall Fit: True to Size,168,82,64,80,81.28,-0.374695703485555
190,Item Size: S,Overall Fit: True to Size,168,82,64,80,81.28,-0.374695703485555
191,Item Size: S,Overall Fit: True to Size,160,89,71,80,86.36,-0.374695703485555
